codigo,descripcion,unidad,Saldoin-Cantidad,Saldoin-Valor,ent-Cantidad,ent-Valor,sal-Cantidad,sal-Valor,sadout-Cantidad,saldout-Valor,SUB-CATEGORIA,tipo,estado_mat,descripcion_material
02-26-12,CCICLAN  2004  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
02-26-14,CLAVEL  3034  2/18,KILOS,0.0,0.0,202.5,202.5,202.0,202.0,0.5,0.5,2/18,HB,,
02-26-17,CARTON AMARILLO  6004  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
02-26-18,BEIGE HUESO  6003  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
02-26-21,VICUÑA  6026  2/18,KILOS,0.0,0.0,198.5,198.5,198.5,198.5,0.0,0.0,2/18,HB,,
02-26-23,AMARILLO ORO  0016  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
02-26-25,AMARILO PATO  0019  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
02-26-27,V. LECHUGA  4043  2/18,KILOS,0.0,0.0,198.5,198.5,198.5,198.5,0.0,0.0,2/18,HB,,
02-26-29,NARANJA  1013  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
02-26-30,LILA  7040  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
02-26-34,NEGRO  5000  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
02-26-35,LILA OCRE  7020  2/18,KILOS,0.0,0.0,202.5,202.5,200.5,200.5,2.0,2.0,2/18,HB,,
02-26-40,AZUL PASTEL  7012  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
02-26-41,TURQUEZA  7003  2/18,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,
02-26-42,CICLAN BAJO  2011  2/18,KILOS,0.0,0.0,203.0,203.0,202.5,202.5,0.5,0.5,2/18,HB,,
02-26-43,KANTUTA  3045  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
02-26-47,BEIGE  6003  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
02-26-48,CONFITE  2002  2/18,KILOS,0.0,0.0,192.0,192.0,192.0,192.0,0.0,0.0,2/18,HB,,
02-26-49,CONFITE  2002  2/18,KILOS,0.0,0.0,189.5,189.5,189.5,189.5,0.0,0.0,2/18,HB,,
02-26-54,NARANJA  1023  2/18,KILOS,0.0,0.0,199.5,199.5,199.5,199.5,0.0,0.0,2/18,HB,,
02-26-55,NEGRO  5000  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
02-26-56,AM. LIMON  0024  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
02-26-60,GALLETA  6010  2/18,KILOS,0.0,0.0,198.0,198.0,198.0,198.0,0.0,0.0,2/18,HB,,
02-26-63,CAFE ROJISO  6013  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
02-26-64,NEGRO  5000  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
02-26-66,VICUÑA  6011  2/18,KILOS,0.0,0.0,199.0,199.0,199.0,199.0,0.0,0.0,2/18,HB,,
02-26-68,BEIGE HUESO  6003  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
02-26-69,BLANCO  0010  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
02-26-71,BLANCO  0010  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
02-26-75,LILA OCRE  7020  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
02-26-79,LILA  7040  2/18,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,
02-26-80,ROJO  3006  2/18,KILOS,0.0,0.0,204.0,204.0,204.0,204.0,0.0,0.0,2/18,HB,,
02-26-85,NEGRO  5000  2/18,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,
02-26-86,KANTUTA  3018  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
03-25-38,TURQUEZA  7003  2/18,KILOS,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,2/18,HB,,
03-25-46,TURQUEZA  7003  2/18,KILOS,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,2/18,HB,,
03-26-03,KANTUTA  3045  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
03-26-06,CARTON AMARILLO  6004  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
03-26-08,VICUÑA  6011  2/18,KILOS,0.0,0.0,196.0,196.0,196.0,196.0,0.0,0.0,2/18,HB,,
03-26-11,VERDE BOTELLA  4011  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
03-26-13,AZUL PETROLEO  7009  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
03-26-15,CALIPSO  7008  2/18,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,
03-26-17,VERDE BANDERA  4010  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
03-26-19,VERDE BOTELLA  4011  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
03-26-24,AMARILLO CANCARIO  0015  2/18,KILOS,0.0,0.0,202.0,202.0,201.5,201.5,0.5,0.5,2/18,HB,,
03-26-25,ESMERALDA  4055  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
03-26-28,VICUÑA  6007  2/18,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,
03-26-29,MORADO  7023  2/18,KILOS,0.0,0.0,203.0,203.0,203.0,203.0,0.0,0.0,2/18,HB,,
03-26-34,FUCSIA  3009  2/18,KILOS,0.0,0.0,213.5,213.5,213.5,213.5,0.0,0.0,2/18,HB,,
03-26-37,AZUL MARINO  7013  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
03-26-39,MORADO  7023  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
03-26-41,BEIGE HUESO  6003  2/18,KILOS,0.0,0.0,203.5,203.5,203.5,203.5,0.0,0.0,2/18,HB,,
03-26-45,V. EASMERALDA  4033  2/18,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,
04-26-04,FUCSIA  3049  2/18,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,
04-26-05,AM. CANARIO  0015  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
04-26-07,ROJO  3006  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
04-26-09,CARTON AMARILLO  6004  2/18,KILOS,0.0,0.0,210.0,210.0,210.0,210.0,0.0,0.0,2/18,HB,,
04-26-10,NEGRO  5000  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
04-26-11,BEIGE OSC.  6021  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
04-26-12,VERDE COCA  4036  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
04-26-14,CICLAN  2004  2/18,KILOS,0.0,0.0,215.0,215.0,215.0,215.0,0.0,0.0,2/18,HB,,
04-26-16,MARFIL  0022  2/18,KILOS,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,2/18,HB,,
04-26-18,CONFITE  2008  2/18,KILOS,0.0,0.0,203.5,203.5,202.5,202.5,1.0,1.0,2/18,HB,,
04-26-19,SALMON  3003  2/18,KILOS,0.0,0.0,216.0,216.0,216.0,216.0,0.0,0.0,2/18,HB,,
04-26-21,CONFITE  2008  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
04-26-23,CALIPSO MEDIO  7098  2/18,KILOS,0.0,0.0,216.0,216.0,204.0,204.0,12.0,12.0,2/18,HB,,
04-26-25,AMARILLO CANARIO  0021  2/18,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,
04-26-27,BLANCO  0010  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
04-26-28,TURQUEZA  7003  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
04-26-29,AMARILLO LIMON  0024  2/18,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,
04-26-31,BLANCO  0010  2/18,KILOS,0.0,0.0,196.5,196.5,196.5,196.5,0.0,0.0,2/18,HB,,
04-26-32,CALIPSO  7008  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
